lex_id,apq,pos,en,concept_id,features,,
deic_1_a,ináha,deic,that far off,THAT_FAR,N/A,,
deic_2_a,yá,deic,that,THAT,N/A,,
deic_3_a,á,deic,this,THIS,SG,,
deic_3_b,á,deic,these,THIS,PL,,
intr_1_a,á,intr,question word,?,N/A,,
adv_1_a,á ití,adv,tonight,TONIGHT,N/A,,
n_1_a,ác,n,sweat,SWEAT,inanimate,,
n_2_a,ácáŋ,n,sweat-house,SWEAT-HOUSE,inanimate,,
v_1_a,áck,v,to sweat,SWEAT,intransitive,,
v_2_a,áh,v,to grow (inanimate),GROW,"intransitive, inanimate",,
adj_1_a,ahinák,adj,like,LIKE,N/A,,
adv_2_a,ahinákka,adv,ago,AGO,N/A,,
adv_3_a,ahinákka,adv,so,SO,N/A,,
n_3_a,ák,n,juice,JUICE,inanimate,,
n_4_a,ák,n,sap,SAP,inanimate,,
adj_2_a,ák,adj," unripe (pl ákak) (var. ákš, pl. ákšakš)",UNRIPE,N/A,,
adj_3_a,akcáw,adj,cold,COLD,N/A,,
adj_4_a,akcáw,adj,clear,CLEAR,N/A,,
adj_5_a,akcáw,adj,transparent,TRANSPARENT,N/A,,
n_5_a,akcáwš,n,head cold,HEAD COLD,inanimate,,
adj_6_a,akilík,adj,wet (var. akilikš),WET,N/A,,
v_3_a,akilíkiš,v,to make something wet (var. ikilíkš),MAKE_WET,transitive,,
n_6_a,ákip cók,n,anhinga,ANHINGA,animate,,
n_7_a,akipáy,n,south,SOUTH,animate,,
n_8_a,ákitoš,n,frog,FROG,animate,,
n_9_a,ákitoš nalmáŋmaŋ,n,spring frog,SPRING FROG,animate,,
n_10_a,akmálš,n,winter,WINTER,inanimate,,
n_11_a,ákmalštíc,n,autumn,AUTUMN,inanimate,,
v_4_a,aknák,v,"to flow, of water",FLOW,intransitive,,
n_12_a,áknak,n,current,CURRENT,animate,,
n_13_a,áknak mišké·š,n,eddy,EDDY,animate,,
n_14_a,akóp,n,flour,FLOUR,inanimate,,
n_15_a,áˑl,n,flesh,FLESH,inanimate,,
n_16_a,áˑl,n,meat,MEAT,inanimate,,
n_17_a,áˑl hoppáy,n,butcher,BUTCHER,animate,,
n_18_a,áˑl icáy,n,beefsteak,BEEFSTEAK,inanimate,,
n_19_a,áˑl kác,n,scab,SCAB,inanimate,,
n_20_a,áˑl ƛóp,n,skewer,SKEWER,inanimate,,
n_21_a,áˑl tíwne,n,gridiron,GRIDIRON,inanimate,,
n_22_a,áˑl wákne,n,meat roaster,MEAT ROASTER,inanimate,,
n_23_a,Áleman,n,German,GERMAN,animate,,
n_24_a,áliŋ,n,grapes,GRAPES,animate,,
n_25_a,áliŋ téy,n,grapevine,GRAPEVINE,animate,,
v_5_a,áƚiš,v,to lose something,LOSE,transitive,,
n_26_a,Alpamú,n,Alabama,ALABAMA,animate,,
n_27_a,Alpamú išáˑk,n,Alabama Indian,ALABAMA INDIAN,animate,,
n_28_a,álš,n,ice,ICE,inanimate,,
n_29_a,álš,n,freezing weather,FREEZING WEATHER,inanimate,,
n_30_a,álš šappác,n,icicle,ICICLE,inanimate,,
v_6_a,ám,v,to drink,DRINK,intransitive,,
v_7_a,áˑm,v,to boil something,BOIL,transitive,,
v_8_a,áˑm,v,to cook something,COOK,transitive,,
v_9_a,ámi,v,to give someone to drink,GIVE_DRINK,transitive,,
n_31_a,ámne,n,beverage,BEVERAGE,inanimate,,
n_32_a,ámne,n,drink,DRINK,inanimate,,
v_10_a,ámš,v,to cause someone to drink,MAKE_DRINK,transitive,,
n_33_a,ámšne,n,dipper,DIPPER,inanimate,,
n_34_a,ámšne,n,cup,CUP,inanimate,,
intj_1_a,án,intj,no! (var. áŋaŋ),NO!,N/A,,
n_35_a,án,n,ear,EAR,animate,,
n_36_a,ánanuy,n,bullfrog,BULLFROG,animate,,
n_37_a,ánhatkómš,n,earring,EARRING,inanimate,,
n_38_a,anhipón,n,rabbit,RABBIT,animate,,
n_39_a,anhipón,n,sheep,SHEEP,animate,,
n_40_a,anhipón náw,n,wool,WOOL,animate,,
n_41_a,anhipón tíl,n,rabbit skin,RABBIT SKIN,animate,,
n_42_a,ánmaŋmaŋ,n,mule,MULE,animate,,
n_43_a,anpákš,n,mouse,MOUSE,animate,,
n_44_a,anpákš héc,n,rat,RAT,animate,,
n_45_a,ánpanš,n,deaf person,DEAF PERSON,animate,,
n_46_a,antú,n,owl,OWL,animate,,
n_47_a,áŋ,n,house,HOUSE,inanimate,,
n_48_a,áŋ šakkópišne,n,white paint,WHITE PAINT,inanimate,,
n_49_a,áŋ wáˑl,n,house-wall,HOUSE WALL,inanimate,,
n_50_a,áŋhicón,n,room,ROOM,inanimate,,
n_51_a,áŋhiwéw,n,church (var. áŋhiwéw inihne),CHURCH,inanimate,,
v_11_a,aŋkámš,v,to play (pl),PLAY,"intransitive, PL_SUBJ",,
n_52_a,aŋkámšne,n,toy,TOY,inanimate,,
n_53_a,aŋkámšne,n,plaything,PLAYTHING,inanimate,,
n_54_a,áŋkat,n,door,DOOR,inanimate,,
n_55_a,áŋkat mók,n,window,WINDOW,"SG, inanimate",,
n_56_a,áŋkat mók ucúc ka,n,pointed window,POINTED WINDOW,"SG, inanimate",,
n_55_b,áŋkat mokmók,n,windows,WINDOW,"PL, inanimate",,
n_56_b,áŋkat mokmók ucúc ka,n,pointed windows,POINTED WINDOW,"PL, inanimate",,
v_11_b,aŋkátš,v,to play (sg),PLAY,"intransitive, SG_SUBJ",,
n_57_a,áŋkóš,n,corner of a house,CORNER OF HOUSE,inanimate,,
n_58_a,áŋlá·k,n,jail,JAIL,inanimate,,
n_59_a,áŋlá·kišne,n,lock,LOCK,inanimate,,
n_60_a,áŋla·kyáw,n,jailor,JAILOR,animate,,
n_61_a,áŋla·kyáw,n,sheriff,SHERIFF,animate,,
n_58_b,áŋlaˑk,n,jail,JAIL,inanimate,,
n_62_a,aŋláˑkišne,n,key,KEY,inanimate,,
n_63_a,áp,n,here,HERE,inanimate,,
n_64_a,ášk,n,shadow,SHADOW,inanimate,,
v_12_a,áškiš,v,to shade something,SHADE,transitive,,
n_65_a,ášt,n,reed,REED,animate,,
n_66_a,Atákapa,n,Atakapa,ATAKAPA,animate,,
adv_2_b,atkáki,adv,ago,AGO,N/A,,
n_63_b,áw,n,here,HERE,inanimate,,
n_67_a,áwp,n,right here,RIGHT HERE,inanimate,,
